doi,title,venue,publication_year,content_type,abstract,keywords,science gateway | scientific gateway,virtual laboratory | Vlab,virtual research environment,more than one
10.1109/CCGrid.2014.98,Towards Generic Metadata Management in Distributed Science Gateway Infrastructures,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",2014,Conference Paper,"Scientific data life cycles are becoming more and more demanding. Data amounts are seen to be ever increasing while at the same time advanced IT infrastructures become more common resulting in a much broader user group demanding a high usability. These challenges are met with a distributed science gateway infrastructure, which in turn is complex in nature. In this situation a main part is missing, a generic metadata management concept. The approach and architecture of such a concept, the current status, an evaluation, and an outlook will be described in this publication. The main goals are to enable scientists to easily manage and use large amounts of data and provide a generic way to enable the fast transfers to a multitude of scientific use cases. © 2014 IEEE.","distributed infrastructures, metadata management, science gateways",1,0,0,1
10.1109/CCGrid.2016.110,The Latin American Giant Observatory: A Successful Collaboration in Latin America Based on Cosmic Rays and Computer Science Domains,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",2016,Conference Paper,"In this work the strategy of the Latin American Giant Observatory (LAGO) to build a Latin American collaboration is presented. Installing Cosmic Rays detectors settled all around the Continent, from Mexico to the Antarctica, this collaboration is forming a community that embraces both high energy physicist and computer scientists. This is so because the data that are measured must be analytical processed and due to the fact that a priori and a posteriori simulations representing the effects of the radiation must be performed. To perform the calculi, customized codes have been implemented by the collaboration. With regard to the huge amount of data emerging from this network of sensors and from the computational simulations performed in a diversity of computing architectures and e-infrastructures, an effort is being carried out to catalog and preserve a vast amount of data produced by the water-Cherenkov Detector network and the complete LAGO simulation workflow that characterize each site. Metadata, Permanent Identifiers and the facilities from the LAGO Data Repository are described in this work jointly with the simulation codes used. These initiatives allow researchers to produce and find data and to directly use them in a code running by means of a Science Gateway that provides access to different clusters, Grid and Cloud infrastructures worldwide. © 2016 IEEE.","big data, Corsika, Cosmic rays, HPC, LAGO",1,0,0,1
10.1109/CCGRID.2019.00082,Towards a Science Gateway for Bioinformatics: Experiences in the Brazilian System of High Performance Computing,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",2019,Conference Paper,"Science gateways bring out the possibility of reproducible science as they are integrated into reusable techniques, data and workflow management systems, security mechanisms, and high performance computing (HPC). We introduce BioinfoPortal, a science gateway that integrates a suite of different bioinformatics applications using HPC and data management resources provided by the Brazilian National HPC System (SINAPAD). BioinfoPortal follows the Software as a Service (SaaS) model and the web server is freely available for academic use. The goal of this paper is to describe the science gateway and its usage, addressing challenges of designing a multiuser computational platform for parallel/distributed executions of large-scale bioinformatics applications using the Brazilian HPC resources. We also present a study of performance and scalability of some bioinformatics applications executed in the HPC environments and perform machine learning analyses for predicting features for the HPC allocation/usage that could better perform the bioinformatics applications via BioinfoPortal. © 2019 IEEE.","bioinformatics, high-performance computing, science gateways",1,0,0,1
10.1109/CLUSTER.2013.6702693,"Globus Nexus: An identity, profile, and group management platform for science gateways and other collaborative science applications",IEEE International Conference on Cluster Computing,2013,Conference Paper,"Globus Nexus is a flexible and powerful Platform-as-a-Service to which developers can outsource identity, group, and profile management needs. By providing these frequently important but always challenging capabilities as a service, accessible over the network, Globus Nexus streamlines web application development and makes it easy for individuals, teams, and institutions to create collaborative web applications such as science gateways for the science community. We introduce the capabilities of this platform and review representative applications. © 2013 IEEE.","authentication, authorization, group, identity, platform, profile, science gateways",1,0,0,1
10.1109/CLUSTER.2013.6702694,CyberGIS Gateway for enabling data-rich geospatial research and education,IEEE International Conference on Cluster Computing,2013,Conference Paper,"This paper describes CyberGIS Gateway, an online problem-solving environment, for multiple science communities to conduct data-rich geospatial research and education. © 2013 IEEE.","CyberGIS, cyberinfrastructures, science gateways, spatial analysis",1,0,0,1
10.1109/CLUSTER.2013.6702695,Cyberinfrastructure: The key to building successful science gateways,IEEE International Conference on Cluster Computing,2013,Conference Paper,"The VectorBase Bioinformatics Resource Center (BRC) is a science gateway, funded by the National Institute of Allergies and Infectious Diseases (NIAID), entering its 10 years of service to the scientific community on invertebrate vectors that transmit human diseases. This abstract describes three key factors contributing to the success of this science gateway: virtual organization, data and services integration, and community involvement and outreach. The role each plays in how they are impacted by the development of cyberinfrastructure is discussed. © 2013 IEEE.","Arthropod Vectors, Bioinformatics Resource Center, cyberinfrastructures, Infectious Diseases, NIAID, science gateways",1,0,0,1
10.1109/CLUSTER.2013.6702699,Structured Participation Toolkit: An enabler for knowledge production in Science Gateway,IEEE International Conference on Cluster Computing,2013,Conference Paper,"While shared access to common pool CI resources is requisite for high-performance collaboration, it does not ensure shared and transparent knowledge production in the scientific problem solving process. Participatory, structured analytic-deliberation is key to deepening shared understanding, particularly as problem complexity increases, and should be integrated with analysis tools. The Structured Participation Toolkit (SPT) enables structured participation methods to be seamlessly integrated into analytical environments, such as Science Gateways, to support large-scale, asynchronous participation; structured analytic-deliberation; consensus-building and decision-making; as well as to provide an open, transparent decision repository and participation metrics. © 2013 IEEE.","analytic-deliberative, CyberGIS, enabling technologies, high-performance collaboration, structured participation",1,0,0,1
10.1109/CLUSTER.2013.6702701,Enabling multi-task computation on Galaxy-based gateways using swift,IEEE International Conference on Cluster Computing,2013,Conference Paper,"The Galaxy science portal is a popular gateway to data analysis and computational tools for a broad range of life sciences communities. While Galaxy enables users to overcome the complexities of integrating diverse tools into unified workflows, it has only limited capabilities to execute those tools on the parallel and often distributed high-performance resources that the life sciences fields increasingly requires. We outline here an approach to meet this pressing requirement with the Swift parallel scripting language and its distributed runtime system. Swift's model of computation - implicitly parallel functional dataflow - is an elemental abstraction to which the core computing model of Galaxy maps very closely. We describe an integration between Galaxy and Swift that is transforming Galaxy into a much more powerful science gateway, retaining its user-friendly nature while extending its power to execute highly scalable workflows on diverse parallel environments. © 2013 IEEE.","Logic gates, computational modeling, Lead, history, servers, computers",1,0,0,1
10.1109/DS-RT.2016.20,Investigating a Science Gateway for an Agent-Based Simulation Application Using REPAST,IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications,2016,Conference Paper,"The benefits of using e-Infrastructure environments, such as cloud, grid, and high performance computing, for performing scientific experiments could be quite significant. In particular, modeling and simulation, which can serve as a key decision making and system analysis tool, could benefit immensely from such environments ranging from issues of how a community of practice could access a simulation to how it could be run quickly. However, the access and use of these e-Infrastructure environments may present a completely different set of challenges, most especially for non Information and Communications Technology (ICT) users. Science Gateways (SG), which are digital interfaces to advanced technologies, can be used to overcome the challenges of running many simulations on e-Infrastructures in a reasonable amount of time. In this work, we developed a SG, based on the Liferay portal framework and the Catania grid and cloud engine. We show how an Agent-Based infection simulation, which has been implemented using the Recursive Porous Agent Simulation Toolkit (REPAST) Simphony, can be ported to a Science Gateway and deployed on distributed computing infrastructures. This demonstration illustrates how this technology can be used easily to allow multiple users across the world to access a simulation and to execute their applications in an e-Infrastructures environment. © 2016 IEEE.","agent-based modelling and simulation, Catania Science Gateway Framework, e-infrastructures, infection model, liferay portal framework, repast, science gateways",1,0,0,1
10.1109/ELINFOCOM.2016.7562923,Problem solving environment for water-supply systems,"International Conference on Electronics, Information, and Communications ",2016,Conference Paper,"This paper describes the collaboration of modern technologies based on mathematical modeling with the aim to simulate behaviors of water-supply system in a big city. The core contains an instrumental tool for hydraulics simulation executed on high-performance computing infrastructure. The simulation process collaborates with the GIS environment in order to correct and prepare input data and visualize the simulation output. The novelty is also scientific gateway which enables hydraulic domain experts to interact comfortably with the HPC capacity from various multiple platforms including local cluster, Grid and Cloud. © 2016 IEEE.","cloud computing, environmental domain, high-performance computing, hydraulic simulations, water-supply system",1,0,0,1
10.1109/eScience.2011.16,Creating a Cloud-based Life Science Gateway,International Conference on e-Science,2011,Conference Paper,"Cloud computing is increasingly becoming a popular solution to massive data analysis in life science community. To completely harness the power of Cloud computing, scientists need science gateways to efficiently manage their virtual machines, share Cloud resources, and run high-throughput sequence analysis with bioinformatics software tools. This paper introduces the development and use of Open Life Science Gateway, which manages computational jobs on top of Hadoop streaming, and supports user-customized runtime environment with virtual machine images. Moreover, it facilitates researchers to team up on solving challenging computing problems by sharing Cloud based data sources and software tools. This gateway has been used for investigating better B-cell epitope prediction. © 2011 IEEE.","cloud computing, science gateways",1,0,0,1
10.1109/eScience.2014.22,eScience Gateway Stimulating Collaboration in Rock Physics and Volcanology,International Conference on e-Science,2014,Conference Paper,"Earth scientist observe many facets of the planet's crust and integrate their resulting data to better understand the processes at work. We report on a new data-intensive science gateway designed to bring rock physicists and volcanologists into a collaborative framework that enables them to accelerate their research and integrate well with other Earth scientists. The science gateway supports three major functions: 1) sharing data from laboratories and observatories, experimental facilities and computational model runs, 2) sharing computational model sand methods for analysing experimental and observational data, and 3) supporting recurrent tasks, such as data collection and running application in real time. Our prototype gateway has worked with two exemplar projects giving experience of data gathering, model sharing and data analysis. The geoscientists found that the gateway accelerated their work, triggered new practices and provided a good platform for long-term collaboration. © 2014 IEEE.","Code Testing, data sharing, Earth Sciences, HPC, metadata and storage, science gateways",1,0,0,1
10.1109/eScience.2015.72,Managing Complexity in Distributed Data Life Cycles Enhancing Scientific Discovery,International Conference on e-Science,2015,Conference Paper,"Distributed data life cycles consist of data sources, data and computing components as well as data sinks and user facing elements. The complexity of the underlying systems is ever rising with the increasing heterogeneity and distribution of components and environments. Researchers would like to focus on their specific research topic without the need to learn these systems in detail. Accessible data life cycles enable scientists to do better science more efficiently and obtain results, which would not have been possible without these advanced technologies. For this objective, abstraction to hide complexity and automation to avoid manual tasks are a necessity. These are embodied in the three conceptual data life cycle challenges, namely data, computing and utilization. Concepts and technologies to manage these challenges are explored and exemplified on the basis of the general data life cycle and MoSGrid (Molecular Simulation Grid) science gateway. In this context, we especially focus on teaching in drug design and quantum chemistry research use cases. Further cases are presented elucidating various challenges in adapting the concepts and technologies to wind energy data analysis and the XSEDE research infrastructure. © 2015 IEEE.","Complexity management, Distributed data life cycles, Scientific discovery",1,0,0,1
10.1109/eScience.2019.00035,"Social Media Intelligence and Learning Environment: an Open Source Framework for Social Media Data Collection, Analysis and Curation",International Conference on e-Science,2019,Conference Paper,"Social Media Intelligence and Learning Environment (SMILE) is an open source framework bringing cutting-edge computational models on social media data to social science researchers and students with any level of programming and computation expertise. Many existing social media analysis tools require programming knowledge, a fee, or are closed source, making it challenging for social science researchers to apply existing and new methods to social media data. SMILE provides a user-friendly web interface, through which researchers can perform a wide spectrum of research tasks, ranging from social media data collection, natural language processing, text classification, social network analysis, and generating human readable outputs and visualizations. SMILE has adopted several technologies to support its needs. The data service of SMILE leverages the GraphQL language to provide an efficient and succinct API for client to communicate with a heterogeneous collection of social media APIs, including Twitter and Reddit. SMILE implements a microservices design and utilizes Amazon AWS services, such as Lambda and Batch for computation, S3 for data storage, and Elasticsearch for a Twitter streaming database, which makes it more portable, economic, and resilient. Analysis outputs can be shared with the larger community using Clowder, an open source data management system to support data curation of long tail data and metadata. SMILE is one of the main applications deployed as a standalone tool within the Social Media Macroscope (SMM), a science gateway based on the HUBzero platform. Over 200 users have used SMILE since its first release in 2018. © 2019 IEEE.","cloud computing, data management, Research computing infrastructure, scientific gateways, Text mining",1,0,0,1
10.1109/eScience.2019.00085,Accelerating Scientific Discovery with SCAIGATE Science Gateway,International Conference on e-Science,2019,Conference Paper,"The demand for computational accelerators (GPUs, FPGAs, ASICs, etc.) is growing due to the widening variety of datacenter applications fueled by recent scientific breakthroughs that leverage artificial intelligence (AI). As much as these applications (e.g., cosmology, physics, etc.) have continued to witness record-breaking accuracy in predictive capabilities due to AI widespread influence, the infrastructure and workflow to take these applications out of research labs into production and business use-cases continues to lag. To address these important infrastructural challenges, we present SCAIGATE, a prototype science gateway with a simplified workflow aimed at facilitating model building/validation workflows in large-scale scientific applications. © 2019 IEEE.","Accelerators, artificial intelligence, Programming environment, scientific computing, workflows",1,0,0,1
10.1109/eScience.2019.00097,HUBzero© Goes OneSciencePlace: The Next Community-Driven Steps for Providing Software-as-a-Service,International Conference on e-Science,2019,Conference Paper,"HUBzero © is a well-used science gateway framework actively developed for over a decade. The needs of its community are one of the primary driving forces guiding the team behind HUBzero©. For example, requirements in the community led to the integration of JupyterHub, RStudio and the provision of Docker containers for the tool submission environment. Besides its community driven requirements, the team behind HUBzero© continuously analyzes the existing science gateway landscape, the usage of instances of HUBzero© as well as trends in the usage of computational platforms in general to keep HUBzero© robust, scalable, and sustainable. HUBzero© has begun development of a science gateway platform called Open Science Place (OSP). OSP is a SaaS-based (Softwareas-A-Service) solution to give researchers a way to execute, share, and archive their research in a publically accessible venue. The poster goes into detail for the different aspects of sustainability addressed in OSP such as a community-hosting concept, flexible financing models, interoperability and scalability of tools. © 2019 IEEE.","HUBzero, OneSciencePlace, science gateways, software-as-a-service, Software-sustainability",1,0,0,1
10.1109/GCE.2010.5676120,An on-line collaborative data management system,Gateway Computing Environments Workshop,2010,Conference Paper,"Scientific data continues to grow in volume making the tasks of managing, accessing and sharing such data more challenging. Providing data to scientists via scientific gateways or collaborative portals can aid scientists in achieving these tasks. This paper presents a general data management system that has been built on top of Elgg, an open source social networking platform. The tool enables scientists to upload, browse, view and share a wide variety of scientific data, as well as define and evolve meta data standards in a collaborative manner. The data management system is currently being used as part of GeoChronos, a scientific gateway for Earth observation scientists, for creating and sharing collections of spectral and satellite data.","data management, scientific gateways, social networking",1,0,0,1
10.1109/GCE.2010.5676127,Domain-specific web services for scientific application developers,Gateway Computing Environments Workshop,2010,Conference Paper,"Many scientists today routinely conduct simulations and run models using high performance computing (HPC) resources provided by national, regional and campus grid infrastructures, either directly logging into such resources or indirectly via web portals and other application client software, i.e. science gateways. Science gateways have proven to be an effective way of bringing HPC resources to a much larger user base. However, developing a new gateway demands substantial effort, requiring both cyberinfrastructure and domain expertise. This paper describes an approach by core software developers to provide domain specific web services (DomWS) to science gateway and application developers. The core developers deliver a set of web services that understand domain specific semantics and translate domain application requests into computational and other tasks that are dispatched onto the distributed high end resources. This approach allows gateway and application developers to easily create customized application services and focus on the gateway functions and interfaces, such as gadgets and desktop clients, that serve their user community. The DomWS approach is not a generic solution for all simulation services. Our aim is to help application developers apply this framework with ease to their specific models and simulations with a small degree of code modification. DomWS also provides reusable modules and templates for common tasks needed by the targeted user community. This paper describes a set of web services that have been developed for Community Climate System Model (CCSM) version 4 using this approach.","Domain specific web services, HPC, Online simulation, science gateways, Service framework's",1,0,0,1
10.1109/GCE.2010.5676129,Creating the CIPRES Science Gateway for inference of large phylogenetic trees,Gateway Computing Environments Workshop,2010,Conference Paper,"Understanding the evolutionary history of living organisms is a central problem in biology. Until recently the ability to infer evolutionary relationships was limited by the amount of DNA sequence data available, but new DNA sequencing technologies have largely removed this limitation. As a result, DNA sequence data are readily available or obtainable for a wide spectrum of organisms, thus creating an unprecedented opportunity to explore evolutionary relationships broadly and deeply across the Tree of Life. Unfortunately, the algorithms used to infer evolutionary relationships are NP-hard, so the dramatic increase in available DNA sequence data has created a commensurate increase in the need for access to powerful computational resources. Local laptop or desktop machines are no longer viable for analysis of the larger data sets available today, and progress in the field relies upon access to large, scalable high-performance computing resources. This paper describes development of the CIPRES Science Gateway, a web portal designed to provide researchers with transparent access to the fastest available community codes for inference of phylogenetic relationships, and implementation of these codes on scalable computational resources. Meeting the needs of the community has included developing infrastructure to provide access, working with the community to improve existing community codes, developing infrastructure to insure the portal is scalable to the entire systematics community, and adopting strategies that make the project sustainable by the community. The CIPRES Science Gateway has allowed more than 1800 unique users to run jobs that required 2.5 million Service Units since its release in December 2009. (A Service Unit is a CPU-hour at unit priority).","CIPRES, cyberinfrastructures, phylogenetics, science gateways, Systematics, TeraGrid",1,0,0,1
10.1109/GCE.2014.11,Who Cares about Science Gateways? A Large-Scale Survey of Community Use and Needs,Gateway Computing Environments Workshop,2014,Conference Paper,"With the rise of science gateway use in recent years, we anticipate there are additional opportunities for growth, but the field is currently fragmented. We describe our efforts to measure the extent and characteristics of the gateway community through a large-scale survey. Our goal was to understand what type of support services might be provided to the gateway community. © 2014 IEEE.","cyberinfrastructures, high-performance computing, Science/engineering gateways/portals, software development, web interfaces",1,0,0,1
10.1109/GCE.2014.12,GenApp Module Execution and Airavata Integration,Gateway Computing Environments Workshop,2014,Conference Paper,"A new framework (GenApp) for rapid generation of scientific applications running on a variety of systems including science gateways has recently been developed. This framework builds a user interface for a variety of target environments on a collection of executable modules. The method for execution of the modules is unrestricted by the framework. Initial implementation supports direct execution, and not queue managed submission, on a user's workstation, a web server, or a compute resource accessible from the web server. After a successful workshop, it was discovered that long running jobs would sometimes fail, due to the loss of a TCP connection. This precipitated an improvement to the execution method with the bonus of easily allowing multiple web clients to attach to the running job. Finally, to support a diversity of queue managed compute resources, a Google Summer of Code project was completed to integrate the Apache Airavata middleware as an additional execution model within the GenApp framework. © 2014 IEEE.","CASE tools, middleware, science gateways",1,0,0,1
