doi,title,venue,publication_year,content_type,abstract,keywords,science gateway | scientific gateway,virtual laboratory | Vlab,virtual research environment,more than one
10.1109/ACCESS.2015.2442613,Open and Low-Cost Virtual and Remote Labs on Control Engineering,IEEE Access,2015,Article,"This paper presents an open course in the University Network of Interactive Laboratories, which offers several virtual and remote laboratories on automatic control, accessible to anyone. All the details on one of these labs (a two electric coupled drives system that allows performing control practices in a 2 × 2 MIMO system with industrial applications) and the activities that can be performed with it are given. We use a low-cost solution for developing the virtual and remote labs shared in this open course, based on the use of a free authoring tool Easy Java/Javascript Simulations (EJsS) for building the laboratories' user interfaces and a cheap development platform board (BeagleBone Black). The virtual and remote labs are deployed into a free Learning Management System (Moodle) Web environment that facilitates their management and maintenance.","distance education, remote laboratories, control systems, virtual laboratories, engineering education, distance education, remote laboratories, control engineering education, control systems, distance education, remote laboratories, control engineering education, control systems",0,1,0,1
10.1109/ACCESS.2018.2873815,Integrated Virtual Laboratory in Engineering Mathematics Education: Fourier Theory,IEEE Access,2018,Article,"In this paper, we present a virtual learning laboratory environment for undergraduate mathematics education using an inquiry-based learning approach. The Visible Thinking pedagogical framework is also suggested to achieve a good complement to traditional lecture-tutorial systems. The virtual laboratory is implemented in an open-access Java interactive software. We demonstrate a viable instruction procedure, providing a set of virtual laboratory activities with real-world applications spanning signal processing, data science and analytics, sustainable infrastructure engineering, and theoretical physics. A preliminary study on a pilot cohort indicates that the proposed virtual laboratory can enhance students' learning. The virtual laboratory implementation is scalable and can be easily expanded in scope to other mathematical topics; transitioning to a tablet-based system for use in smart classrooms is also readily achieved. The Java interactive software is freely available on Open Science Framework. © 2013 IEEE.","data science, education, engineering mathematics, Fourier theory, interdisciplinary, smart classroom, virtual laboratory",0,1,0,1
10.1109/ACCESS.2020.2978089,Research on Multimodal Perceptual Navigational Virtual and Real Fusion Intelligent Experiment Equipment and Algorithm,IEEE Access,2020,Article,"Virtual experiment is an important field of human-computer interaction. With more and more virtual laboratories emerging, we found that problems regarding virtual experiments are rising. Such problems can be listed as follows: First, human-computer interaction has lower efficiency during the process of virtual experiment, which means the computer cannot understand the user's intention thus leading to incorrect operation. Second, there are less detections for false behavior during experiments. Third, the virtual laboratory's sense of operation and realism is not strong. In order to solve the above problems, the multimodal sensing navigation virtual and real fusion laboratory (MSNVRFL) was designed and implemented in this paper. We design a new set of experimental equipment with the function of cognition and study a multimodal fusion model and algorithm for chemical experiments, which are both finally verified and applied in MSNVRFL. By using multimodal fusion perception algorithm, the user's true intentions can be understood and the human-computer interaction efficiency can be improved. By carrying out a virtual experiment with the mold of virtual and real fusion, problems like resources wasting and dangers happened during experiment can be avoided, user's sense of operation and realism can be improved. In addition, teaching navigation and wrong operation behavior reminders are provided for users. The experimental result shows that our method can improve the efficiency of human-computer interaction, reduce the user's cognitive load, strengthen the user's sense of reality and operation and stimulate students' interest in learning. © 2013 IEEE.","human-computer interaction, intelligent teaching, Multimodal fusion, virtual experiments",0,1,0,1
10.1109/ACCESS.2020.3025229,A Design of Smart Beaker Structure and Interaction Paradigm Based on Multimodal Fusion Understanding,IEEE Access,2020,Article,"Virtual chemistry experiment is an important teaching tool in middle schools. It can not only help students understand the experimental principles, but also help them memorize the experimental procedures. However, there are still some problems in virtual chemistry experiments. First, in existing research, user intentions are often misunderstood and cannot be accurately understood. Second, the existing research fail to identify the user's wrong actions, which reduce the accuracy of the experiment. Third, the user sense of operation and realism is not strong during the experiment, which reduces the user's experience. Finally, the lack of navigation guidance for experimental operations increases user learning time. In order to solve these problems. This paper proposes a scheme for establishing an intelligent navigational chemical laboratory based on multimodal fusion. First of all, we design a new smart beaker structure with perceptual ability, which can be used to complete most chemical experiments and give users a real sense of experience. Besides, we propose a multimodal fusion understanding algorithm, which reduces the misidentification of the experiment and better understands the real intention of the user. Finally, intelligent navigation and wrong behavior recognition functions are added to the experimental equipment, which improves the efficiency of human-computer interaction. The results show that Compared with the existing virtual laboratory or system, the chemical laboratory scheme proposed in this paper through multimodal fusion understanding algorithm greatly reduces the user's memory load and improves the success rate of the experiment. Moreover, through the combination of virtual and real, the virtual chemistry experiment not only improves the authenticity of the operation, but also stimulates the students' interest in learning, which is well received by users. © 2020 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.","human-computer interaction, Intention understanding, Multimodal fusion, Navigation interaction paradigm, Smart beaker",0,1,0,1
10.1109/ACCESS.2021.3125497,Analyzing the Users’ Acceptance of an IoT Cloud Platform Using the UTAUT/TAM Model,IEEE Access,2021,Article,"The instructional design of meaningful experimental activities completely integrated into on-line Engineering courses is still a significant challenge, by following the sustainable development goal of the United Nations for quality education, the SDG number 4. Remote and virtual laboratories can be a solution to improve this design in distance methodology. This fact has been more noticeable during the COVID-19 pandemic and its consequences with respect to education. Its transparent integration into the learning process and the inclusion of learning analytic features are essential features of these kinds of technologies. Without them, lecturers cannot track the performance and the satisfaction of their students. Our LoT@UNED (Laboratory-of-Things@UNED) platform has been implemented to include all these educational features for IoT environments, ranging from edge to cloud computing. Taking the advantages of the IoT paradigm, this platform involves acquiring practical competences within IoT and edge-cloud programming topics, among others. Furthermore, its flexibility allows us to host other areas, such as cybersecurity. Specifically, our platform incorporates a set of sustainable capabilities (scalability, availability, and security), so contributing to the SDG 4 challenge with a low-complex and efficient solution for quality distance education. To analyze the impact of our proposed solution, this work also focuses on studying the influence among several acceptance UTAUT/TAM factors during the students’ learning and teaching process. To achieve this goal, both exploratory and confirmatory analyses have been conducted. The reliability and validity of data are also analyzed. An improved structural equation model has also been studied, satisfying several statistical indicators according to the recommended thresholds in the current literature. The usefulness of our platform, easing the users’ attitude and having a high availability of resources affect positively the intention of use our IoT cloud solution and, as a consequence, the great quality of the education process. © 2021 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.","cloud computing, distance education, evaluation, IoT learning environments, SEM, Sustainable development goals (SDGs), UTAUT/TAM models",0,1,0,1
10.1109/ACSEAC.2012.18,Virtual Laboratory Development for Teaching Power Systems via Interactive Experiment Environment,African Conference for Sofware Engineering and Applied Computing,2012,Conference Paper,"The creation and testing of computer-simulated interactive environment laboratory for use in the power systems field education will provide a highly interactive and powerful learning environment for all undergraduate power engineering students. This experiment will prepare students to approach their practical with more confidence and to better understand the theory in the class room. The study of electrical power systems requires a solid background on advanced mathematics, but many engineering students lack this required background. Using this tool, undergraduate students may improve their performance. MATLAB, particularly its Graphical User Interface (GUI)software has been used to design the interactive environment to calculate the fault currents and voltages that occur for different types of fault on the power systems transmission line. The manipulation on the internal connection of the power system components are the main focus. This paper describes the design of an interactive environment experiment for studying power systems fault analysis and the program will make the practical experiments in power engineering more attractive and understandable to undergraduate students. © 2012 IEEE.","Interactive environment, Laboratory experiments, learning tools, MATLAB GUI, Power Systems Analysis, simulations",0,1,0,1
10.1109/AERO.2017.7943764,A virtual laboratory approach for risk assessment of aerospace electronics trust techniques,IEEE Aerospace Conference,2017,Conference Paper,"This paper describes a novel aerospace electronic component risk assessment methodology and supporting virtual laboratory structure designed to augment existing supply chain management practices and aid in Microelectronics Trust Assurance. This toolkit and methodology applies structure to the unclear and evolving risk assessment problem, allowing quantification of key risks affecting both advanced and obsolete systems that rely on semiconductor technologies. The impacts of logistics & supply chain risk, technology & counterfeit risk, and faulty component risk on trusted and non-trusted procurement options are quantified. The benefits of component testing on part reliability are assessed and incorporated into counterfeit mitigation calculations. This toolkit and methodology seek to assist acquisition staff by providing actionable decision data regarding the increasing threat of counterfeit components by assessing the risks faced by systems, identifying mitigation strategies to reduce this risk, and resolving these risks through the optimal test and procurement path based on the component criticality risk tolerance of the program. © 2017 IEEE.","Supply chains, Procurement, US Department of Defense, Risk management, Testing, Reliability, Consumer electronics",0,1,0,1
10.1109/AERO.2017.7943855,NSF GENI cloud enabled architecture for distributed scientific computing,IEEE Aerospace Conference,2017,Conference Paper,"GENI (Global Environment for Network Innovations) is a National Science Foundation (NSF) funded program which provides a virtual laboratory for networking and distributed systems research and education. It is well suited for exploring networks at a scale, thereby promoting innovations in network science, security, services and applications. GENI allows researchers obtain compute resources from locations around the United States, connect compute resources using 100G Internet2 L2 service, install custom software or even custom operating systems on these compute resources, control how network switches in their experiment handle traffic flows, and run their own L3 and above protocols. GENI architecture incorporates cloud federation. With the federation, cloud resources can be federated and/or community of clouds can be formed. The heart of federation is user identity and an ability to ""advertise"" cloud resources into community including compute, storage, and networking. GENI administrators can carve out what resources are available to the community and hence a portion of GENI resources are reserved for internal consumption. GENI architecture also provides ""stitching"" of compute and storage resources researchers request. This provides L2 network domain over Internet2's 100G network. And researchers can run their Software Defined Networking (SDN) controllers on the provisioned L2 network domain for a complete control of networking traffic. This capability is useful for large science data transfer (bypassing security devices for high throughput). Renaissance Computing Institute (RENCI), a research institute in the state of North Carolina, has developed ORCA (Open Resource Control Architecture), a GENI control framework. ORCA is a distributed resource orchestration system to serve science experiments. ORCA provides compute resources as virtual machines and as well as baremetals. ORCA based GENI rack was designed to serve both High Throughput Computing (HTC) and High Performance Computing (HPC) type of computes. Although, GENI is primarily used in various universities and research entities today, GENI architecture can be leveraged in the commercial, aerospace and government settings. This paper will go over the architecture of GENI and discuss the GENI architecture for scientific computing experiments. © 2017 IEEE.","Computer architecture, servers, cloud computing, Hardware, Fabrics, Blades",0,1,0,1
10.1109/AICERA.2012.6306691,Virtual laboratory platform for enhancing undergraduate level induction motor course using MATLAB/Simulink,IEEE International Conference on Engineering Education: Innovative Practices and Future Trends,2012,Conference Paper,"With the advent of various simulation software packages and low cost personal computing devices in the market, computer-aided teaching tools have become an important part of present pedagogy. These tools support the classroom teaching by enabling the instructor to illustrate the working of various systems by means of computer generated graphics. This paper presents a very easy and interactive model based on computer simulation in MATLAB/Simulink to simulate the no load test, load test and blocked rotor test on 3-phase slip ring and squirrel cage induction motors. The well known equivalent circuit model along with the torque equation is used to model the motor without considering the effects of magnetic saturation. The simulation environment plots all relevant graphs including circle diagram of the given motor, thus acting as a complete graphical teaching aid for the induction machine course at undergraduate level. This model facilitates learning especially for the students pursuing a distance-learning/correspondence course which does not provide them with the laboratory facilities. © 2012 IEEE.","experimental tests, induction motor, Matlab/Simulink, simulations, slip ring, squirrel cage",0,1,0,1
10.1109/AMC.2012.6197151,Drivetrain of electric car: Development of virtual laboratory for E-learning,"International Workshop on Advanced Motion Control, AMC",2012,Conference Paper,"Virtual laboratories that animate scientific phenomena are becoming an increasingly popular method to teach students. Electrical engineering is considered difficult to understand as it demands a high level of imagination. This difficulty can be dealt with to a large extent by developing visual aids in the form of animations. Animations can help students to grasp the idea quickly and therefore can serve as an effective aid for the learning process. This paper deals with the development of such a teaching aid to tackle a particular problem in Electrical Drives and Power Electronics (ED&PE). The problem is that of the electrical drive train of a hybrid electric vehicle (HEV) that can regenerate power during braking or whenever required (Plug-in HEV, PHEV). This paper attempts to give a step-by-step insight into the various design choices, the operation of the converters and their controls, the learning objectives and finally the development of the graphic multimedia for this drive train © 2012 IEEE.","animation, e-learning, Electrical Drives and Power Electronics (ED&PE), Hybrid Electric Vehicle (HEV), Plug-in HEV (PHEV), virtual laboratory",0,1,0,1
10.1109/APEIE.2018.8545019,Virtual Interactive Laboratory Assignments and Experiments in Physics in the System of Education,International Scientific-Technical Conference on Actual Problems of Electronics Instrument Engineering,2018,Conference Paper,"The article examines the technology used in practice of development of virtual interactive resources in physics. Created electronic resources can be used as a virtual laboratory works, a frontal demonstrations and a interactive experimental tasks in physics. The presented virtual resources simulate the whole spectrum of stationary and non-stationary physical processes and phenomena of micro and macro world. The shown technology for creating virtual learning resources can be successfully used in the system of learning bachelors and masters. It provides development of competency of university students on the use and implementation of innovative educational process in physics. © 2018 IEEE.","modeling in physics, virtual devices, Virtual laboratory assignment",0,1,0,1
10.1109/APPED.2010.12,Research on Network Virtual Electrical and Electronic Laboratory,Asia-Pacific Conference on Power Electronics and Design,2010,Conference Paper,"The Network Virtual Electrical and Electronic Laboratory makes use of the simulation technology and the virtual reality technology to build a virtual experiment environment on the Internet. The virtual lab can meet the students' requirements of making simulation electronic experiments and achieving interaction with teachers and other school fellows, and help the students with their experiment preparation as well as improve their practical abilities. Network Virtual Laboratory is a useful complement to the real laboratory, but can not completely replace the real laboratory. © 2010 IEEE.","Experimental platform, Network virtual experiment, Simulation experiment",0,1,0,1
10.1109/ATEE52255.2021.9425042,Creating a Virtual Copy of a Function Generator in the EVEEE Environment,International Symposium on Advanced Topics in Electrical Engineering,2021,Conference Paper,"With the development of the COVID-19 situation, the application of virtual laboratories became an indispensable part of engineering education. This study presents the design and implementation of a virtual function generator in the Engine for Virtual Electrical Engineering Equipment (EVEEE). The equipment is developed on two levels-functional and graphical. The functionality of the generator is implemented using a SPICE netlist containing several variables that are manipulated via the virtual components-several buttons and one potentiometer. On a graphical level, the generator is implemented using different PNG images, representing the equipment as a whole and its components individually. A virtual lab containing the function generator and a multimeter was created in order to test the developed functionality. The development of this virtual equipment extends the scope of application of the EVEEE environment, by allowing virtual investigation of classical circuit labs such as resonant circuits and filters. © 2021 IEEE.","electrical engineering, Function generator, virtual labs",0,1,0,1
10.1109/BigMM.2017.62,Experiences with Multi-modal Collaborative Virtual Laboratory (MMCVL),IEEE International Conference on Multimedia Big Data,2017,Conference Paper,"Training through Multi-modal Collaborative Virtual Laboratory (MMCVL) aims at developing or improving skills of students without the need of them being physically present. MMCVL addresses the problems faced by the current education system such as lack of resources and safe use of expensive laboratory equipment. It also provides a means for easy collaboration between students and teachers from different universities and schools. Multimedia data in terms of 3D mesh, skeleton, audio and virtual object physics interaction are incorporated in MMCVL to provide a 3D Tele-Immersion environment. The system uses low-cost RGB-D cameras such as Microsoft Kinect V2 to capture and generate 3D model of the person by extracting him/her from the entire captured data and immersing it in different interactive virtual environments. Different lab environments can be virtually created to provide for and replace the real laboratories. Object interactions allow for users to interact with the virtual objects present in the scene similar to real lab setup. Recording module of the toolkit allows future reference for training and testing of the student. The system also facilitates virtual feedback by giving the correct measurements, video demonstrations as well as audio communication with the collaborating teacher. Two different Chemistry experiments were performed to evaluate the user experience and usability aspects of MMCVL. Results obtained from the user study analysis prove the system to be fun and realistic, and at the same time engaging and motivating for learning laboratory experiments. © 2017 IEEE.","3D Tele-Immersion, Interactive learning environments, Mixed/Augmented reality, Virtual training",0,1,0,1
10.1109/CAC.2017.8243489,Design and implementation of online fan wiring experiments based on NCSLab,Chinese Automation Congress,2017,Conference Paper,"Deploying online experiments requires less cost with less maintenance. This paper investigates the design and implementation of online wiring experiments based on the online experimental platform NCSLab (Networked Control System Laboratory). Within the context of the virtual laboratory, the 3D modeling and web-based rendering are explored. Similar to hands-on experiments in physical laboratories, wiring is provided to simulate the wire connection in the real case, and interactions and the design of control algorithms are discussed. The virtual fan speed control system is selected to illustrate the proposed design and implementation method. The result shows that the system can simulate the wiring part of the hands-on experiments with good control performance. © 2017 IEEE.","3D modeling, fan wiring, virtual experiments, web-based rendering",0,1,0,1
10.1109/CarpathianCC.2011.5945892,The virtualization of development boards in the virtual laboratory of microprocessor technology,International Carpathian Control Conference,2011,Conference Paper,"This paper describes the concept and the realization of a virtual laboratory of microprocessor technology that has been created at our faculty. The virtual laboratory is an online platform that provides access to the laboratory workplaces during the evenings or weekends when the laboratory is closed. It allows students to work on the individual projects remotely from their home with nearly the same comfort as they work locally. This paper proposes and evaluates two implementation techniques for the virtualization of the hardware equipments in the laboratory. Moreover, it introduces our own developed tools to support the virtualization and to help to inexperienced embedded system developers (in our case students). © 2011 IEEE.","microprocessor technology, virtual laboratory",0,1,0,1
10.1109/CarpathianCC.2017.7970464,Adaptive access to robotic learning experiences in a remote laboratory setting,International Carpathian Control Conference,2017,Conference Paper,"We describe the architecture of a small remote laboratory made available by means of a web-based adaptive system (Mindlab2). The system supports hands-on e-learning experiences with robotics and automation, performed via internet. It allows the learners to access and solve 'problems', submit their solutions and have them evaluated. The problems are defined by the teacher, also specifying instructional aspects, such as the learner's skills involved in producing a solution. For each individual learner a personal Student Model is maintained, recording learner's knowledge and skills, as shown by the solved problems. The access to the problem is guarded by the system, ensuring that the problems can all be 'seen' by any student, whereas a learner can work on a problem only if its prerequisites are covered, or anyway 'not too far' from her current competences. The available automata are modular structures of various origin (a robotic arm connected to an Arduino platform, and some Lego MindStorm builds, in various configurations). Such hardware is reasonably sophisticated in terms of functions, enjoys a wide provision of sensors and actuators, so allowing for presenting the learners with a good deal of problems, and is sufficiently affordable in terms of cost. Making the learner choose and sequence the problems to undertake, with the only limitation of the problem affordability measured by the student model, allows learners to follow a highly personalizable learning path in a pedagogically controlled setting, which we submit is conducive to better engagement and learning results. © 2017 IEEE.","Adaptivity, e-learning, Robot Control, Teleoperation, virtual laboratory",0,1,0,1
